Variable:,tasmin
,Ukraine,Cherkas'ka,Chernihivs'ka,Chernivets'ka,Dnipropetrovs'ka,Donets'ka,Ivano-frankivs'ka,Kharkivs'ka,Khersons'ka,Khmel'nyts'ka,Kirovohrads'ka,Krym,Kyyivs'ka,L'vivs'ka,Luhans'ka,Mykolayivs'ka,Odes'ka,Poltavs'ka,Rivnens'ka,Sums'ka,Ternopil's'ka,Vinnyts'ka,Volyns'ka,Zakarpats'ka,Zaporiz'ka,Zhytomyrs'ka
1985,2.60,2.03,1.96,2.03,2.93,3.32,0.33,2.60,3.20,3.13,2.08,5.20,2.32,1.91,3.01,2.74,4.16,2.41,1.76,1.70,2.08,2.46,2.00,0.69,3.77,1.82
1986,3.70,3.30,3.08,3.15,4.04,4.23,1.35,3.48,4.52,4.25,3.33,6.49,3.53,2.74,3.75,4.04,5.52,3.54,2.76,2.72,3.13,3.71,2.82,1.66,4.86,2.96
1987,2.28,1.71,1.18,2.43,2.39,2.55,0.81,1.56,3.22,3.21,1.87,5.29,1.88,2.08,1.85,2.76,4.39,1.69,1.46,0.77,2.29,2.46,1.67,1.28,3.34,1.50
1988,3.98,3.52,3.48,3.63,4.16,4.28,1.93,3.75,4.55,4.68,3.53,6.50,3.80,3.42,3.88,4.21,5.62,3.76,3.37,3.06,3.68,3.96,3.47,2.33,4.91,3.37
1989,5.45,5.33,5.42,4.60,5.73,5.76,2.68,5.60,5.68,5.98,5.25,7.44,5.71,4.20,5.66,5.65,6.83,5.62,4.76,5.04,4.72,5.52,4.59,2.85,6.17,5.05
1990,5.12,4.90,5.06,4.08,5.41,5.46,2.28,5.18,5.58,5.61,4.85,7.26,5.40,3.83,5.23,5.33,6.44,5.25,4.59,4.70,4.33,4.99,4.46,2.50,6.03,4.76
1991,4.53,4.21,4.25,3.83,4.78,4.99,1.93,4.36,5.06,5.23,4.17,6.80,4.59,3.36,4.56,4.75,6.01,4.41,3.94,3.86,3.93,4.61,3.84,2.14,5.53,4.11
1992,4.38,4.04,4.07,3.83,4.57,4.62,2.07,4.14,4.79,5.19,3.94,6.41,4.49,3.65,4.22,4.53,5.77,4.23,3.97,3.62,4.04,4.43,3.95,2.33,5.27,4.10
1993,3.72,3.35,3.34,3.14,3.90,4.01,1.42,3.44,4.25,4.48,3.30,6.04,3.79,2.99,3.54,3.89,5.22,3.54,3.21,2.86,3.35,3.75,3.19,1.72,4.65,3.36
1994,4.66,4.24,3.82,4.73,4.73,4.73,3.10,3.98,5.28,5.72,4.25,7.23,4.57,4.41,4.03,4.97,6.65,4.20,4.13,3.20,4.80,4.93,4.17,3.37,5.56,4.19
1995,4.56,4.05,3.97,3.69,5.08,5.44,1.92,4.67,5.38,4.95,4.19,7.34,4.34,3.31,5.14,4.82,6.01,4.46,3.62,3.77,3.77,4.33,3.50,2.28,5.91,3.77
1996,3.58,3.23,2.70,3.34,3.94,4.13,1.43,3.22,4.54,4.23,3.38,6.74,3.27,2.39,3.54,4.14,5.71,3.30,2.40,2.41,3.10,3.77,2.25,1.72,4.82,2.65
1997,3.65,3.27,3.28,3.31,3.74,3.91,1.54,3.27,4.10,4.50,3.25,5.99,3.69,2.97,3.53,3.81,5.25,3.41,3.17,2.74,3.33,3.78,3.11,1.87,4.47,3.31
1998,4.40,4.05,3.79,3.88,4.65,4.79,2.11,4.02,5.15,5.10,4.11,7.12,4.33,3.58,4.19,4.78,6.11,4.17,3.72,3.31,3.96,4.41,3.69,2.41,5.48,3.84
1999,5.26,4.91,4.74,4.56,5.67,5.80,2.70,5.07,6.07,5.85,4.99,7.84,5.21,4.16,5.18,5.63,7.02,5.15,4.40,4.35,4.62,5.28,4.31,2.98,6.51,4.59
2000,5.24,4.92,4.84,4.64,5.39,5.56,2.85,4.91,5.72,6.05,4.92,7.42,5.34,4.43,5.06,5.49,6.88,5.04,4.79,4.34,4.79,5.34,4.73,3.09,6.17,4.96
2001,4.69,4.29,4.08,4.10,5.05,5.26,2.32,4.49,5.44,5.28,4.34,7.41,4.57,3.75,4.72,5.00,6.32,4.53,3.93,3.73,4.18,4.61,3.86,2.64,5.90,4.04
2002,5.04,4.67,4.37,4.63,5.29,5.42,2.85,4.70,5.70,5.81,4.76,7.53,4.94,4.24,4.83,5.40,6.78,4.85,4.40,3.97,4.67,5.13,4.33,3.20,6.08,4.51
2003,4.02,3.68,3.48,3.54,4.18,4.32,1.72,3.68,4.55,4.79,3.75,6.49,4.01,3.15,3.80,4.36,5.78,3.82,3.49,3.08,3.59,4.14,3.41,2.04,4.94,3.61
2004,4.78,4.42,4.13,4.11,5.20,5.43,2.29,4.72,5.52,5.33,4.52,7.31,4.64,3.69,5.05,5.11,6.42,4.68,3.89,3.86,4.17,4.73,3.80,2.59,6.02,4.08
2005,4.66,4.28,4.00,3.73,5.21,5.47,1.79,4.62,5.67,5.04,4.42,7.54,4.47,3.19,4.99,5.12,6.41,4.54,3.64,3.69,3.76,4.55,3.52,2.08,6.09,3.89
2006,4.39,4.02,3.88,3.73,4.70,4.92,1.94,4.16,5.09,4.99,4.07,6.94,4.33,3.40,4.43,4.69,6.04,4.21,3.70,3.45,3.82,4.32,3.66,2.28,5.52,3.83
2007,5.76,5.45,5.12,5.21,6.13,6.30,3.38,5.50,6.55,6.40,5.53,8.31,5.70,4.71,5.68,6.18,7.49,5.60,4.90,4.71,5.26,5.81,4.80,3.68,6.95,5.13
2008,5.49,5.15,5.15,4.97,5.56,5.68,3.25,5.13,5.91,6.30,5.11,7.64,5.63,4.73,5.26,5.69,7.11,5.24,5.10,4.66,5.10,5.60,5.04,3.59,6.33,5.22
2009,5.33,4.97,4.66,4.72,5.79,5.97,2.95,5.13,6.23,5.86,5.08,8.00,5.22,4.21,5.27,5.74,7.07,5.19,4.34,4.28,4.75,5.26,4.21,3.31,6.65,4.59
2010,5.13,4.62,4.21,4.29,5.90,6.23,2.46,5.13,6.36,5.40,4.88,8.36,4.71,3.64,5.54,5.67,6.90,4.99,3.84,3.91,4.29,4.86,3.67,2.75,6.83,4.07
2011,4.63,4.28,4.33,3.89,4.89,5.06,2.08,4.45,5.13,5.29,4.30,6.93,4.69,3.65,4.52,4.80,6.11,4.49,4.18,3.94,4.07,4.61,4.12,2.37,5.67,4.27
2012,5.06,4.67,4.35,4.12,5.68,5.88,2.29,5.03,6.09,5.40,4.86,7.94,4.87,3.71,5.30,5.53,6.74,5.03,4.01,4.02,4.22,4.84,3.90,2.61,6.55,4.26
2013,5.58,5.24,5.05,4.75,6.05,6.25,2.92,5.56,6.35,6.06,5.32,8.07,5.51,4.31,5.80,5.91,7.18,5.54,4.72,4.76,4.86,5.46,4.57,3.21,6.86,4.95
2014,5.22,4.66,4.50,4.87,5.42,5.62,3.27,4.81,5.98,5.95,4.78,7.96,4.96,4.74,4.97,5.50,6.98,4.83,4.60,4.04,4.94,5.15,4.68,3.81,6.32,4.61
2015,5.79,5.44,5.40,5.17,6.09,6.27,3.30,5.63,6.40,6.44,5.47,8.11,5.83,4.73,5.76,6.03,7.33,5.65,5.22,4.96,5.23,5.80,5.06,3.62,6.87,5.34
