Variable:,pr
,Mongolia,Arxangai,Bayan-O'lgii,Bayanxongor,Bulgan,Darxan-Uul,Dornod,Dornogovi,Dundgovi,Govisu'mber,Govi-Altai,Xentii,Xovd,Xo'vsgol,O'mnogovi,Orxon,O'vorxangai,Selenge,Su'xbaatar,To'v,Ulaanbaatar,Uvs,Zavxan
2011,207.35,312.56,229.17,176.96,383.76,327.00,243.37,134.79,144.44,210.05,121.06,252.81,124.83,333.26,106.31,400.04,218.61,352.69,200.57,272.42,279.28,227.77,227.21
2012,257.23,302.81,340.40,168.85,414.77,396.75,366.80,192.49,191.89,248.92,134.28,358.50,163.43,352.14,147.17,441.50,249.81,426.84,289.70,320.62,316.83,339.51,244.20
2013,262.68,357.25,309.05,165.22,520.41,408.79,401.00,156.44,154.46,224.05,127.67,354.87,157.69,468.30,110.47,548.74,218.40,450.30,263.50,319.30,317.24,345.51,287.99
2014,213.69,306.21,249.82,162.75,393.92,331.35,277.12,139.92,137.48,198.89,127.56,282.47,133.46,332.26,116.04,414.15,214.35,362.15,209.74,262.70,256.90,255.88,212.80
2015,188.36,245.71,257.33,151.74,303.88,287.73,226.37,129.16,136.84,144.04,115.37,203.11,118.91,278.16,129.50,332.18,198.16,309.75,167.33,212.57,205.04,263.91,208.22
2016,260.72,403.84,293.72,232.23,482.94,360.11,262.93,171.11,178.26,188.32,166.03,245.22,154.53,460.47,167.13,483.40,302.87,394.14,214.00,287.65,275.58,342.26,314.04
2017,178.52,225.94,195.23,118.64,337.96,335.88,233.59,108.82,125.27,163.17,99.29,239.39,101.10,303.94,102.42,367.18,157.40,360.18,154.05,238.91,244.61,222.35,177.95
2018,263.32,353.68,206.41,200.40,472.23,393.60,336.11,204.68,221.47,255.80,146.28,340.46,122.41,416.57,181.96,492.13,286.79,429.26,247.43,336.03,328.49,269.44,267.94
2019,219.99,290.15,327.54,148.95,392.11,325.67,267.54,160.42,142.24,188.60,107.72,255.70,149.11,381.65,121.37,403.27,196.82,358.86,205.85,256.24,248.85,336.76,235.82
2020,257.82,363.67,331.40,158.65,460.81,426.32,337.10,203.20,146.68,262.98,124.42,382.43,170.52,435.44,95.09,475.30,185.56,458.32,271.82,322.81,343.39,364.21,290.88
