Variable:,tasmin
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
2001,8.66,10.20,13.52,3.32,16.25,3.89,11.63,16.26,13.62,17.44,2.12,8.58,9.13,5.73,16.00,3.77,5.74,9.64,4.47,10.25,2.26,13.90,14.70,1.16,11.23
2002,8.28,9.58,13.06,3.11,16.04,3.71,10.93,16.01,13.09,17.41,2.24,7.80,8.73,5.13,16.10,3.39,5.33,9.66,4.08,9.51,2.09,13.33,14.39,1.07,11.03
2003,8.40,9.17,12.18,3.61,15.62,4.20,11.15,15.29,12.52,16.69,2.09,8.08,9.34,5.69,15.09,3.50,5.51,9.57,4.67,10.04,2.79,13.04,14.59,1.72,11.41
2004,8.45,9.40,12.52,3.35,15.31,4.55,11.00,15.20,12.69,16.36,2.21,8.26,9.11,5.59,14.88,3.84,5.71,9.50,4.45,9.88,3.34,12.93,14.32,2.26,11.18
2005,8.17,8.93,12.26,3.06,15.50,4.15,10.81,15.57,12.73,16.60,2.04,7.66,8.90,5.08,15.21,3.27,5.28,9.33,4.27,9.56,2.72,12.96,14.20,1.63,10.89
2006,8.51,9.17,12.47,3.94,15.93,4.07,11.23,15.73,12.94,17.08,2.56,8.02,9.66,5.78,15.34,3.41,5.39,9.98,4.96,10.17,2.70,13.18,14.72,1.59,11.71
2007,7.68,8.34,11.70,2.71,15.31,3.59,10.14,15.21,12.13,16.60,1.84,7.05,8.43,4.56,15.10,2.60,4.59,9.15,3.75,8.92,2.37,12.38,13.71,1.02,10.56
2008,8.24,9.23,12.51,3.10,15.20,4.46,10.66,15.17,12.65,16.34,1.75,7.97,8.86,5.38,14.79,3.71,5.64,9.13,4.34,9.64,3.02,12.77,13.93,1.54,10.80
2009,8.23,9.05,12.12,3.42,15.47,4.14,10.86,15.24,12.46,16.62,2.09,7.85,9.21,5.36,14.95,3.05,5.34,9.51,4.59,9.78,2.72,12.78,14.27,1.18,11.06
2010,7.99,9.10,12.51,2.90,15.08,3.90,10.68,15.13,12.62,16.27,1.88,7.57,8.65,4.97,14.84,2.79,5.04,9.19,4.07,9.46,2.58,12.70,13.86,1.32,10.64
2011,8.27,8.99,12.17,3.13,15.43,4.40,11.04,15.35,12.56,16.60,2.14,7.73,8.96,5.10,15.07,3.23,5.52,9.45,4.26,9.71,3.13,12.90,14.21,1.92,10.89
2012,8.77,9.66,12.93,3.90,16.23,4.35,11.65,15.97,13.18,17.32,2.55,8.40,9.69,5.92,15.68,3.76,5.70,10.08,5.01,10.45,2.91,13.55,14.96,1.67,11.68
2013,8.32,9.00,12.09,3.25,15.48,4.52,10.77,15.05,12.41,16.50,2.07,7.99,8.99,5.47,14.79,3.58,5.67,9.52,4.51,9.79,3.17,12.78,14.26,1.97,10.99
2014,8.76,9.78,13.08,3.63,16.62,4.39,11.26,16.32,13.29,17.84,2.87,8.26,9.21,5.76,16.17,3.67,5.63,10.34,4.64,10.14,2.96,13.58,14.87,1.62,11.51
2015,8.92,9.69,12.91,3.91,16.87,4.49,11.57,16.41,13.45,18.11,3.20,8.36,9.48,5.91,16.25,3.88,5.75,10.64,4.89,10.28,3.06,13.88,15.13,1.73,11.77
2016,8.39,9.37,12.44,2.98,15.57,4.45,10.73,15.35,12.72,16.78,2.18,8.12,8.64,5.78,15.06,3.89,5.60,9.61,4.48,9.80,3.21,12.92,13.99,2.14,10.74
2017,8.93,10.29,13.69,3.57,16.45,4.67,11.33,16.32,13.72,17.61,2.73,8.63,9.13,5.97,15.93,4.02,5.98,10.19,4.67,10.24,3.25,13.77,14.80,2.11,11.41
2018,8.45,9.63,12.94,3.22,15.83,4.25,10.91,15.70,13.05,16.93,2.12,8.16,8.80,5.59,15.33,3.54,5.53,9.62,4.39,9.85,2.98,13.18,14.31,2.03,10.97
2019,8.47,9.21,12.66,3.14,16.16,4.18,10.95,16.06,13.08,17.43,2.48,7.95,8.79,5.76,15.92,3.65,5.39,9.85,4.46,9.86,3.00,13.33,14.38,1.99,10.95
2020,8.38,9.10,12.19,3.19,15.73,4.44,10.47,15.31,12.31,17.05,2.71,8.09,8.81,5.86,15.26,3.77,5.65,9.95,4.64,9.83,3.17,12.56,14.03,2.20,10.84
