Variable:,tasmin
,Latvia,Aizkraukles,Aluksnes,Balvu,Bauskas,Cesu,Daugavpils,Dobeles,Gulbenes,Jekabpils,Jelgavas,Kraslavas,Kuldigas,Liepajas,Limbazu,Ludzas,Madonas,Ogres,Preilu,Rezeknes,Rigas,Saldus,Talsu,Tukuma,Valkas,Valmieras,Ventspils
1998,2.52,2.37,1.54,1.69,2.98,1.93,2.11,3.04,1.72,2.18,3.05,2.01,3.72,4.06,2.44,1.83,1.96,2.60,2.09,1.97,2.82,3.32,3.32,3.03,1.82,2.16,3.84
1999,3.19,3.00,2.24,2.38,3.60,2.57,2.72,3.70,2.39,2.80,3.69,2.68,4.43,4.76,3.11,2.51,2.63,3.21,2.74,2.66,3.46,3.99,4.02,3.69,2.52,2.81,4.57
2000,3.88,3.66,3.03,3.11,4.25,3.35,3.34,4.33,3.14,3.46,4.33,3.35,5.03,5.36,3.97,3.22,3.29,3.86,3.39,3.34,4.17,4.62,4.65,4.34,3.30,3.71,5.16
2001,2.86,2.63,1.96,2.04,3.26,2.28,2.30,3.38,2.07,2.43,3.36,2.22,4.16,4.49,2.85,2.13,2.28,2.85,2.35,2.24,3.15,3.69,3.71,3.38,2.24,2.59,4.30
2002,3.03,2.78,2.00,2.16,3.44,2.41,2.48,3.60,2.21,2.59,3.54,2.41,4.37,4.73,2.96,2.28,2.42,3.01,2.53,2.44,3.31,3.94,3.92,3.61,2.28,2.66,4.49
2003,2.63,2.41,1.75,1.87,2.97,2.04,2.10,3.11,1.88,2.20,3.09,2.11,3.86,4.19,2.58,1.98,2.08,2.63,2.14,2.09,2.89,3.41,3.44,3.09,1.99,2.28,4.02
2004,2.76,2.52,1.91,2.00,3.08,2.24,2.20,3.25,2.02,2.31,3.20,2.13,4.03,4.37,2.74,2.01,2.18,2.73,2.24,2.17,3.03,3.58,3.65,3.28,2.21,2.44,4.21
2005,2.50,2.19,1.71,1.76,2.80,1.99,1.95,2.96,1.79,2.00,2.91,1.96,3.70,4.05,2.59,1.81,1.86,2.39,2.01,1.93,2.77,3.24,3.30,2.96,1.96,2.31,3.91
2006,3.03,2.75,2.11,2.16,3.39,2.45,2.42,3.60,2.26,2.54,3.53,2.33,4.36,4.71,3.07,2.22,2.41,2.99,2.53,2.37,3.34,3.91,3.98,3.63,2.41,2.78,4.55
2007,3.46,3.23,2.50,2.63,3.86,2.88,3.03,3.98,2.64,3.04,3.92,2.96,4.69,5.06,3.45,2.75,2.86,3.45,3.03,2.91,3.73,4.28,4.28,3.96,2.81,3.18,4.78
2008,4.24,3.99,3.43,3.49,4.59,3.75,3.71,4.71,3.56,3.80,4.71,3.66,5.38,5.75,4.36,3.52,3.67,4.20,3.76,3.67,4.54,4.97,5.02,4.70,3.75,4.12,5.51
2009,3.05,2.82,2.14,2.27,3.42,2.50,2.61,3.52,2.27,2.63,3.50,2.54,4.22,4.56,3.07,2.40,2.47,3.02,2.64,2.53,3.34,3.79,3.84,3.52,2.44,2.77,4.37
2010,1.80,1.63,0.86,1.11,2.21,1.12,1.58,2.23,0.93,1.47,2.24,1.61,2.86,3.24,1.68,1.40,1.25,1.83,1.52,1.49,2.01,2.51,2.40,2.17,1.08,1.41,2.90
2011,3.37,3.10,2.53,2.59,3.75,2.79,2.89,3.84,2.63,2.92,3.84,2.86,4.53,4.88,3.48,2.68,2.72,3.32,2.96,2.83,3.64,4.12,4.17,3.83,2.83,3.23,4.66
2012,2.53,2.28,1.60,1.72,2.89,1.94,2.10,3.02,1.74,2.09,2.98,2.06,3.76,4.14,2.54,1.87,1.93,2.52,2.10,2.00,2.80,3.34,3.33,2.99,1.88,2.24,3.88
2013,3.29,3.05,2.50,2.60,3.65,2.73,2.90,3.72,2.57,2.89,3.73,2.86,4.38,4.77,3.35,2.70,2.72,3.24,2.92,2.80,3.54,4.00,3.98,3.69,2.73,3.10,4.49
2014,3.59,3.33,2.79,2.84,3.94,3.10,3.04,4.06,2.89,3.11,4.07,2.91,4.79,5.11,3.67,2.83,3.01,3.57,3.04,2.94,3.91,4.35,4.44,4.08,3.06,3.42,4.97
2015,4.20,3.98,3.37,3.45,4.61,3.67,3.70,4.66,3.49,3.80,4.71,3.55,5.38,5.71,4.17,3.45,3.65,4.19,3.73,3.60,4.51,4.94,5.01,4.67,3.61,3.92,5.54
