Variable:,tasmin
,Peru,Amazonas,Ancash,Apurímac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,"La Libertad",Lambayeque,Lima,Loreto,"Madre de Dios",Moquegua,Pasco,Piura,Puno,"San Martín",Tacna,Tumbes,Ucayali
2011,13.48,13.86,5.30,0.94,4.34,3.20,8.62,5.16,7.13,0.79,11.17,11.99,9.03,8.88,16.01,4.98,20.98,18.71,3.83,12.01,15.35,3.38,16.25,6.37,17.20,20.23
2012,13.67,14.16,5.76,1.16,4.42,3.45,9.00,5.07,7.28,1.09,11.54,12.31,9.31,9.34,16.41,5.39,21.13,18.79,3.63,12.33,15.73,3.27,16.61,6.13,17.54,20.39
2013,13.30,13.70,4.94,0.61,3.99,2.91,8.40,4.86,6.91,0.57,10.83,11.71,8.82,8.60,15.75,4.67,20.95,18.56,3.58,11.72,15.13,3.15,16.03,6.10,17.01,20.02
2014,13.71,14.26,5.57,1.06,4.49,3.33,9.03,5.52,7.26,0.96,11.37,12.16,9.20,9.24,16.49,5.23,21.24,18.87,4.11,12.15,15.84,3.66,16.57,6.67,17.72,20.29
2015,14.28,14.89,6.32,1.64,4.98,3.94,9.72,5.84,7.80,1.58,12.04,12.80,9.81,9.98,17.20,5.89,21.77,19.36,4.42,12.81,16.52,4.00,17.25,6.98,18.37,20.88
2016,14.17,14.78,6.17,1.55,4.80,3.85,9.58,5.48,7.70,1.48,11.96,12.69,9.71,9.82,16.97,5.74,21.75,19.28,4.00,12.68,16.30,3.70,17.18,6.49,18.13,20.84
2017,13.99,14.64,6.05,1.16,4.67,3.45,9.46,5.61,7.43,1.08,11.81,12.26,9.42,9.70,16.86,5.44,21.52,19.08,4.26,12.45,16.18,3.80,17.11,6.76,17.97,20.65
2018,13.58,14.13,5.29,0.88,4.42,3.16,8.88,5.24,7.08,0.77,11.19,12.01,8.99,9.02,16.29,4.95,21.20,18.68,4.01,11.94,15.67,3.50,16.47,6.47,17.53,20.14
2019,13.88,14.71,5.53,1.04,4.52,3.31,9.44,5.38,7.31,0.91,11.40,12.10,9.19,9.46,16.87,5.05,21.58,18.96,4.14,12.16,16.28,3.64,16.89,6.71,18.11,20.44
2020,13.89,14.47,5.53,1.19,4.59,3.44,9.22,5.57,7.45,1.04,11.43,12.21,9.32,9.34,16.62,5.13,21.48,19.15,4.21,12.25,15.98,3.76,16.82,6.80,17.82,20.57
